event_id,title,category,source,date,latitude,longitude,magnitude_value,magnitude_unit,closed
EONET_18766,"RX PCS Buffalo 1 Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-21T09:58:00Z,34.806,-94.216,652,acres,
EONET_18799,"RX Beau Champ South Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-21T09:41:00Z,34.882067,-93.870917,1033,acres,
EONET_18801,"RX CAT BU 3 Prescribed Fire, Grant, Louisiana",Wildfires,IRWIN,2026-03-21T09:26:00Z,31.740833,-92.445278,1455,acres,
EONET_18774,"Burgess East Wildfire, Clay, Alabama",Wildfires,IRWIN,2026-03-21T09:20:00Z,33.364143,-85.917891,1020,acres,
EONET_18782,"Hall Valley Rd Wildfire, Floyd, Georgia",Wildfires,IRWIN,2026-03-21T09:05:00Z,34.2769444,-85.4477778,509,acres,
EONET_18802,"Compartment 146 RX Prescribed Fire, Perry, Alabama",Wildfires,IRWIN,2026-03-21T09:03:00Z,32.674783,-87.055383,1300,acres,
EONET_18748,"TUS Elbow Creek RX Prescribed Fire, Cherokee, North Carolina",Wildfires,IRWIN,2026-03-21T08:43:00Z,35.220783,-84.254,1903,acres,
EONET_18810,"SAND CREEK Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-21T08:37:00Z,36.426885,-96.280622,5000,acres,
EONET_18796,"Flatwoods Rx Prescribed Fire, Wise, Virginia",Wildfires,IRWIN,2026-03-21T07:57:00Z,36.90875,-82.450217,1400,acres,
EONET_19197,"C-28A EN RX Prescribed Fire, Union, South Carolina",Wildfires,IRWIN,2026-03-21T07:38:00Z,34.644444,-81.683333,607,acres,
EONET_18800,"Spice Run Rx Prescribed Fire, Alleghany, Virginia",Wildfires,IRWIN,2026-03-21T07:12:00Z,37.655333,-80.07,502,acres,
EONET_19220,"32N/33B RX Prescribed Fire, Jones, Georgia",Wildfires,IRWIN,2026-03-20T20:08:00Z,33.0131,-83.6682,572,acres,
EONET_19219,"Compartment 134 RX Prescribed Fire, Jones, Georgia",Wildfires,IRWIN,2026-03-20T20:06:00Z,33.1793,-83.480883,2200,acres,
EONET_18807,"Big Mineral North RX Prescribed Fire, Grayson, Texas",Wildfires,IRWIN,2026-03-20T19:33:00Z,33.705185,-96.789282,746,acres,
EONET_18803,"Sandpiper Wildfire, Natrona, Wyoming",Wildfires,IRWIN,2026-03-20T17:35:00Z,42.90757,-106.14654,6287,acres,
EONET_18794,"Sharp Rock RX Prescribed Fire, Jackson, Illinois",Wildfires,IRWIN,2026-03-20T17:24:00Z,37.830978,-89.513588,1318,acres,
EONET_18820,"RX PCS South Waldron Ridge 10 Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-20T16:40:00Z,34.882067,-93.870917,837,acres,
EONET_18811,"RX PCS Turkey Creek East Prescribed Fire, Scott, Arkansas",Wildfires,IRWIN,2026-03-20T16:39:00Z,34.768276,-93.97866,1613,acres,
EONET_18777,"SAND CREEK Wildfire, Osage, Oklahoma",Wildfires,IRWIN,2026-03-20T16:23:00Z,36.4266,-96.280967,5000,acres,
EONET_19000,"Rattlesnake RX Prescribed Fire, Luna, New Mexico",Wildfires,IRWIN,2026-03-20T16:09:00Z,32.45655,-107.62402,3200,acres,
EONET_18823,"Ridge Road RX Prescribed Fire, Clay, Alabama",Wildfires,IRWIN,2026-03-20T12:53:00Z,33.441667,-85.908056,2442,acres,
